# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
EPIC_219511354                 K2_V         K4_V            1.622 13.16  0.94 -0.0400  0.0062 -0.0851  0.0085 -0.0362  0.0076 -0.0701  0.0082  4.4700  0.0160  4.4940  0.0170  3.7020  0.0130  3.6710  0.0120 -0.3100  0.0530 -0.5000  0.0520  0.0700  0.0300
RW_Lac                         G5_V         G7_V           10.369 10.63  0.50 -0.0325  0.0028 -0.0605  0.0020  0.0741  0.0015 -0.0159  0.0018  4.2570  0.0030  4.4090  0.0040  3.7600  0.0080  3.7450  0.0120  0.1400  0.0300 -0.1000  0.0500 -0.3000 -9.9900
ASAS_J045021+2300.4            none         none            1.653 10.26  0.73 -0.0297  0.0079 -0.3883  0.0053  0.0245  0.0094 -0.3893  0.0096  4.3600  0.0180  4.8290  0.0190  3.7530  0.0050  3.5550  0.0120 -9.9900 -9.9900 -9.9900 -9.9900 -0.2600  0.2600
CG_Cyg                         G9_V         K3_V            0.631 10.08  0.86 -0.0269  0.0055 -0.0915  0.0070 -0.0506  0.0063 -0.0757  0.0072  4.5120  0.0140  4.5050  0.0160  3.7210  0.0150  3.6740  0.0060 -0.2600  0.0600 -0.5100  0.0300 -9.9900 -9.9900
KIC_6131659                    none         none           17.528 12.76  0.92 -0.0259  0.0046 -0.1530  0.0049 -0.0443  0.0014 -0.2104  0.0021  4.4960  0.0050  4.7050  0.0060  3.7160  0.0080  3.6170  0.0500 -9.9900 -9.9900 -9.9900 -9.9900 -0.2300  0.2000
Kepler-453                     none         none           27.322 13.70  0.75 -0.0250  0.0046 -0.7097  0.0045 -0.0794  0.0057 -0.6676  0.0028  4.5710  0.0150  5.0630  0.0050  3.7420  0.0080  3.5090  0.0130 -9.9900 -9.9900 -9.9900 -9.9900  0.0900  0.1000
HP_Aur                         G2_V         K1_V            1.423 11.17  0.68 -0.0203  0.0019 -0.0918  0.0019  0.0119  0.0018 -0.1103  0.0019  4.3942  0.0040  4.5669  0.0043  3.7640  0.0090  3.7130  0.0100  0.0360  0.0350 -0.4140  0.0390 -9.9900 -9.9900
KIC_4054905                    none         none          274.729 13.22  1.04 -0.0203  0.0043 -0.0193  0.0027  0.9224  0.0014  0.4901  0.0013  2.5730  0.0026  3.4385  0.0019  3.6860  0.0060  3.7210  0.0190  1.5420  0.0250  0.8190  0.0810 -0.6000  0.0200
Tyc_5227-1023-1                none         none            4.306 11.86  0.55 -0.0195  0.0073 -0.0762  0.0062  0.1424  0.0031 -0.0101  0.0044  4.1300  0.0100  4.3800  0.0100  3.8030  0.0140  3.7730  0.0160 -9.9900 -9.9900 -9.9900 -9.9900 -0.6300  0.1100
ASAS_J065134-2211.5            G            none            8.220  9.83  0.83 -0.0195  0.0055 -0.1713  0.0032 -0.0013  0.0017 -0.1612  0.0044  4.4210  0.0030  4.5890  0.0090  3.7400  0.0080  3.5990  0.0120 -0.0900  0.0300 -0.9600  0.0500  0.0900  0.1300
Kepler-47                      none         none            7.448 15.38  0.85 -0.0191  0.0064 -0.4660  0.0038 -0.0287  0.0023 -0.4711  0.0026  4.4760  0.0050  4.9140  0.0050  3.7510  0.0080  3.5260  0.0130 -0.0760  0.0350 -1.8540  0.0620 -0.2500  0.0800
OGLE-BLG-ECL-116218            K2_III       K3_III         80.586 17.59  1.60 -0.0137  0.0054 -0.0074  0.0053  1.2235  0.0073  1.3436  0.0051  1.9780  0.0150  1.7440  0.0090  3.6270  0.0210  3.6110  0.0150  1.9100  0.0800  2.0800  0.0600 -0.4600  0.2000
OGLE-SMC-ECL-1492              G6_III       G8_III         73.715 17.71  1.03 -0.0132  0.0045 -0.0132  0.0045  1.2014  0.0164  1.3997  0.0052  2.0200  0.0300  1.6300  0.0100  3.6970  0.0090  3.6790  0.0060  2.1490  0.0460  2.4680  0.0280 -0.8800  0.0900
IM_Vir                         G7_V         K7_V            1.309  9.57  0.66 -0.0083  0.0053 -0.1776  0.0031  0.0257  0.0065 -0.1669  0.0083  4.3790  0.0140  4.5940  0.0170  3.7540  0.0080  3.6280  0.0130 -0.0120  0.0340 -0.8670  0.0560 -0.1000  0.2500
KIC_10987439                   F3_V         none           10.675 10.69  9.62 -0.0059  0.0015  0.1527  0.0014 -0.0306  0.0070  0.1796  0.0089  4.4930  0.0140  4.2320  0.0180  3.7100  0.0180  3.8120  0.0060 -9.9900 -9.9900  0.5500  0.0300 -9.9900 -9.9900
KIC_8736245                    G2_V         none            5.069 13.95  0.71 -0.0057  0.0040 -0.1068  0.0050  0.1176  0.0020 -0.0947  0.0022  4.1970  0.0060  4.5210  0.0080  3.7640  0.0090  3.7020  0.0110 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
V565_Lyr                       none         none           18.799 17.71  0.93 -0.0020  0.0014 -0.0318  0.0015  0.0418  0.0027 -0.0129  0.0024  4.3524  0.0053  4.4319  0.0080  3.7480  0.0070  3.7350  0.0100 -9.9900 -9.9900 -9.9900 -9.9900  0.2800  0.0500
V530_Ori                       G1_V         M1_V            6.111  9.96  0.49  0.0016  0.0029 -0.2251  0.0016 -0.0088  0.0058 -0.2311  0.0050  4.4570  0.0120  4.6760  0.0100  3.7770  0.0070  3.5890  0.0130  0.0160  0.0320 -1.1540  0.0530 -0.1200  0.0800
V1174_Ori                      K4.5_V       M1.5_V          2.635 13.95  1.24  0.0039  0.0065 -0.1361  0.0048  0.1268  0.0049  0.0273  0.0045  4.1900  0.0100  4.2500  0.0100  3.6500  0.0120  3.5580  0.0120 -0.1930  0.0480 -0.7610  0.0580 -9.9900 -9.9900
V818_Tau                       G8_V         K4_V            5.609  8.32  0.76  0.0105  0.0010 -0.1292  0.0009 -0.0348  0.0071 -0.1314  0.0153  4.5180  0.0140  4.5710  0.0320  3.7520  0.0040  3.6330  0.0100 -9.9900 -9.9900 -9.9900 -9.9900  0.0500  0.0500
EBLM_J0113+31                  G0_V         none           14.277 10.12  0.50  0.0124  0.0106 -0.7055  0.0066  0.1514  0.0043 -0.6676  0.0040  4.1480  0.0060  5.0680  0.0060  3.7870  0.0030  3.5280  0.0050  0.4060  0.0140 -2.2670  0.0240 -0.3000  0.1000
CV_Boo                         G2_V         G3_V            0.847 10.80  0.50  0.0137  0.0055 -0.0141  0.0054  0.1011  0.0079  0.0693  0.0085  4.2940  0.0160  4.2850  0.0170  3.7600  0.0110  3.7540  0.0110  0.1970  0.0480  0.1070  0.0490 -9.9900 -9.9900
KIC_6525196                    none         none            3.421 10.22  0.52  0.0150  0.0023 -0.0127  0.0017  0.0302  0.0008  0.0044  0.0007  4.3927  0.0024  4.4166  0.0019  3.8120  0.0090  3.8060  0.0080 -9.9900 -9.9900 -9.9900 -9.9900 -0.4600  0.1000
KIC_7177553                    G2_V         G2_V           17.996 11.54  0.52  0.0183  0.0058 -0.0061  0.0066 -0.0269  0.0023 -0.0264  0.0023  4.5170  0.0080  4.4910  0.0080  3.7630  0.0100  3.7590  0.0110 -0.0550  0.0400 -0.0710  0.0410 -0.0500  0.0900
Kepler-34                      none         none           27.796 15.04  0.63  0.0203  0.0013  0.0089  0.0009  0.0651  0.0011  0.0385  0.0012  4.3284  0.0021  4.3703  0.0022  3.7720  0.0090  3.7680  0.0100  0.1730  0.0330  0.1070  0.0360 -0.0700  0.1500
