# System                       SpT1         SpT2            Pday  Vmag   BmV   logM1   logM1e  logM2   logM2e  logR1   logR1e  logR2   logR2e  logg1   logg1e  logg2   logg2e  logT1   logT1e  logT2   logT2e  logL1   logL1e  logL2   logL2e  MoH     MoHe                                                 
IQ_Per                         B8_V         A6_V            1.744  7.73 -0.11  0.5467  0.0083  0.2398  0.0078  0.3885  0.0046  0.1770  0.0049  4.2080  0.0190  4.3230  0.0130  4.0900  0.0080  3.8850  0.0080  2.0900  0.0300  0.8500  0.0400 -9.9900 -9.9900
OGLE-LMC-ECL-01866             G3_III       K1.5_III      251.247 16.13  1.17  0.5514  0.0024  0.5502  0.0038  1.4280  0.0084  1.6731  0.0046  2.1340  0.0170  1.6420  0.0090  3.7240  0.0070  3.6530  0.0060  2.7080  0.0320  2.9120  0.0250 -0.4900  0.1700
OGLE-LMC-ECL26122              none         none          771.781 16.63  0.82  0.5555  0.0066  0.5329  0.0060  1.5147  0.0068  1.3615  0.0091  1.9640  0.0140  2.2480  0.0180  3.6980  0.0070  3.6990  0.0070 -9.9900 -9.9900 -9.9900 -9.9900 -0.1500  0.1000
OGLE-LMC-SC9-230659            G6_III       G6_III        772.638 16.63  1.09  0.5561  0.0046  0.5352  0.0038  1.5163  0.0029  1.3692  0.0058  1.9620  0.0050  2.2350  0.0110  3.6990  0.0060  3.7020  0.0090  2.7830  0.0250  2.5000  0.0360 -0.2400  0.1100
OGLE-LMC-CEP-04506             F7_Ib        F7_Ib-II     1550.354 15.50  0.50  0.5575  0.0036  0.5465  0.0037  1.4548  0.0030  1.4216  0.0033  2.0870  0.0070  2.1420  0.0060  3.7870  0.0110  3.7830  0.0110  3.0100  0.0500  2.9300  0.0500 -9.9900 -9.9900
chi2_Hya                       B8_V         B8_V            2.268  5.65 -0.09  0.5579  0.0095  0.4213  0.0082  0.6419  0.0039  0.3355  0.0086  3.7120  0.0150  4.1880  0.0190  4.0660  0.0100  4.0410  0.0100  2.5000  0.0400  1.7900  0.0400 -9.9900 -9.9900
V413_Ser                       B8_V         B9_V            2.260  8.00  0.58  0.5658  0.0059  0.5263  0.0052  0.5065  0.0068  0.4669  0.0074  3.9914  0.0028  4.0310  0.0031  4.0450  0.0120  4.0150  0.0120  2.1490  0.0220  1.9490  0.0340 -9.9900 -9.9900
OGLE-LMC-CEP-01812             F7_II        G4_III        551.776 16.69  0.64  0.5752  0.0035  0.4183  0.0033  1.2516  0.0032  1.0730  0.0029  2.5090  0.0070  2.7090  0.0070  3.7870  0.0110  3.7130  0.0100  2.6100  0.0400  1.9500  0.0400 -9.9900 -9.9900
OGLE-SMC-ECL-3678              F2_II        G6_II         187.843 15.56  0.67  0.5832  0.0023  0.5717  0.0012  1.4942  0.0070  1.6294  0.0041  2.0300  0.0100  1.7500  0.0100  3.8230  0.0080  3.6970  0.0060  3.2340  0.0370  3.0030  0.0260 -0.7800  0.0800
zeta_Phe                       B6_V         B8_V            1.670  3.95 -0.15  0.5920  0.0063  0.4041  0.0053  0.4526  0.0029  0.2753  0.0025  4.1250  0.0050  4.2920  0.0040  4.1580  0.0240  4.0790  0.0220  2.4900  0.1000  1.8200  0.0900 -9.9900 -9.9900
OGLE-LMC-ECL-13360             G1_II-III    G4_II-III     262.439 15.82  1.07  0.5966  0.0026  0.6085  0.0026  1.4837  0.0054  1.5962  0.0039  2.0670  0.0110  1.8540  0.0080  3.7400  0.0070  3.7060  0.0070  2.8820  0.0310  2.9720  0.0280 -0.3000  0.1000
GG_Lup                         B7_V         B9_V            1.850  5.59 -0.16  0.6145  0.0042  0.3995  0.0042  0.3764  0.0046  0.2368  0.0048  4.3010  0.0110  4.3640  0.0100  4.1690  0.0130  4.0410  0.0240  2.3800  0.0500  1.5900  0.1000 -9.9900 -9.9900
OGLE-LMC-CEP-00227             F7_Ib-II     G4_II         309.669 15.20  0.60  0.6180  0.0031  0.6085  0.0032  1.5425  0.0015  1.6512  0.0014  1.9700  0.0040  1.7430  0.0030  3.7780  0.0120  3.7080  0.0100  3.1500  0.0500  3.0900  0.0400 -9.9900 -9.9900
OGLE-LMC-ECL-06575             G6_II-III    K0_III        189.994 15.81  1.20  0.6198  0.0023  0.6009  0.0028  1.6428  0.0043  1.6698  0.0040  1.7730  0.0080  1.6990  0.0080  3.6920  0.0070  3.6670  0.0060  3.0090  0.0290  2.9630  0.0240 -0.4600  0.1000
OGLE_SMC108.1_14904            F9_II        G7_II         185.218 15.21  0.86  0.6450  0.0040  0.6463  0.0036  1.6716  0.0049  1.8065  0.0034  1.7400  0.0140  1.4720  0.0100  3.7540  0.0080  3.6950  0.0080  3.3130  0.0420  3.3460  0.0380 -0.7900  0.1500
MU_Cas                         B5_V         B5_V            9.653 10.80  0.30  0.6599  0.0086  0.6684  0.0093  0.5647  0.0047  0.6222  0.0052  3.9690  0.0100  3.8610  0.0100  4.1790  0.0140  4.1690  0.0140  2.8000  0.0600  2.8800  0.0600 -9.9900 -9.9900
ASAS_J180057-2333.8            K1_II        K4_II         269.496 10.34  1.60  0.6914  0.0019  0.6880  0.0019  1.7170  0.0115  1.8301  0.0090  1.6960  0.0230  1.4660  0.0180  3.6570  0.0080  3.6240  0.0080  3.0130  0.0380  3.1110  0.0370 -0.1400  0.1000
V760_Sco                       B4_V         B4_V            1.731  6.99 -0.17  0.6972  0.0078  0.6646  0.0069  0.4790  0.0095  0.4216  0.0087  4.1770  0.0210  4.2590  0.0190  4.2280  0.0130  4.2100  0.0130  2.8200  0.0500  2.6300  0.0600 -9.9900 -9.9900
EP_Cru                         B5_V         B5_V           11.077  8.69 -0.04  0.7007  0.0112  0.6839  0.0117  0.5551  0.0042  0.5434  0.0042  4.0280  0.0080  4.0350  0.0080  4.1960  0.0140  4.1880  0.0140 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
U_Oph                          B5_V         B6_V            1.678  5.91 -0.18  0.7067  0.0051  0.6609  0.0047  0.5366  0.0013  0.4843  0.0014  4.0730  0.0040  4.1310  0.0040  4.2200  0.0050  4.1830  0.0030 -9.9900 -9.9900 -9.9900 -9.9900  0.0000  0.0000
DI_Her                         B5_V         B5_V           10.550  8.42 -0.18  0.7147  0.0090  0.6565  0.0063  0.4281  0.0075  0.3939  0.0079  4.2970  0.0180  4.3070  0.0170  4.2300  0.0200  4.1790  0.0200  2.7300  0.0800  2.4600  0.0800 -9.9900 -9.9900
CV_Vel                         B2.5_V       B2.5_V          6.889  6.69 -0.19  0.7830  0.0008  0.7747  0.0008  0.6107  0.0032  0.5955  0.0033  4.0000  0.0080  4.0210  0.0080  4.2550  0.0120  4.2500  0.0120  3.2040  0.0480  3.1370  0.0480  0.0000  0.0000
V539_Ara                       B3_V         B4_V            3.169  5.71 -0.19  0.7951  0.0046  0.7253  0.0049  0.6581  0.0018  0.5533  0.0043  3.9170  0.0030  4.0570  0.0080  4.2580  0.0120  4.2330  0.0130  3.3020  0.0480  2.9930  0.0520 -9.9900 -9.9900
V436_Per                       B1.5_V       B1.5_V         25.936  5.52 -0.18  0.8376  0.0023  0.8662  0.0023  0.5334  0.0059  0.5735  0.0031  4.2090  0.0120  4.1570  0.0060  4.3320  0.0200  4.3420  0.0200  3.3510  0.0810  3.4710  0.0790 -9.9900 -9.9900
V1388_Ori                      B2.5_IV      B3_V            2.187  7.50 -0.06  0.8596  0.0047  0.7014  0.0033  0.7244  0.0061  0.4975  0.0077  3.8490  0.0120  4.1440  0.0150  4.2790  0.0230  4.2300  0.0250  3.6500  0.0440  3.0180  0.0490 -9.9900 -9.9900
QX_Car                         B2_V         B2_V            4.478  6.64 -0.23  0.9669  0.0057  0.9284  0.0062  0.6324  0.0092  0.6076  0.0098  4.1400  0.0200  4.1510  0.0210  4.3770  0.0090  4.3540  0.0100  3.7200  0.0400  3.5800  0.0400 -9.9900 -9.9900
DW_Car                         B1_V         B1_V            1.328  9.68  0.07  1.0546  0.0046  1.0265  0.0057  0.6588  0.0043  0.6332  0.0056  4.1750  0.0080  4.1980  0.0110  4.4460  0.0160  4.4230  0.0160  4.0550  0.0630  3.9150  0.0670  0.0000  0.0000
V380_Cyg                       B1.5_III     B2_V           12.426  5.68 -0.06  1.0580  0.0072  0.8451  0.0087  1.1962  0.0036  0.5819  0.0055  3.1040  0.0060  4.1200  0.0110  4.3360  0.0060  4.3560  0.0230  4.6910  0.0410  3.6260  0.0380  0.0300  0.1000
VV_Ori                         B1_V         B4_V            1.485  5.38 -0.22  1.0630  0.0053  0.6821  0.0054  0.7084  0.0025  0.3997  0.0035  4.0800  0.0500  4.3200  0.0600  4.4260  0.0050  4.2110  0.0110  4.0700  0.0200  2.6000  0.0600 -0.0600  0.0600
V346_Cen                       B0_IV        B1_V            6.322  8.51 -0.06  1.0697  0.0044  0.9222  0.0046  0.9179  0.0041  0.6152  0.0076  3.6720  0.0080  4.1300  0.0150  4.4170  0.0050  4.3520  0.0060  4.4570  0.0220  3.5940  0.0280  0.0000  0.0000
CW_Cep                         B0.5_V       B0.5_V          2.729  7.59 -0.28  1.1139  0.0023  1.0770  0.0029  0.7364  0.0048  0.7067  0.0051  4.0790  0.0100  4.1020  0.1040  4.4520  0.0080  4.4400  0.0070 -9.9900 -9.9900 -9.9900 -9.9900  0.0000  0.0000
OGLE-LMC-ECL-22270             none         none            5.414 14.03 -0.02  1.1209  0.0026  1.1596  0.0042  0.9284  0.0051  1.1123  0.0017  3.7020  0.0100  3.3740  0.0030  4.4170  0.0270  4.3760  0.0240  4.4780  0.0100  4.6810  0.0030 -9.9900 -9.9900
V453_Cyg                       B0.4_IV      B0.7_IV         3.890  8.29  0.18  1.1449  0.0072  1.0453  0.0070  0.9378  0.0028  0.7202  0.0046  3.7080  0.0040  4.0440  0.0090  4.4590  0.0080  4.4420  0.0090  4.6660  0.0310  4.1630  0.0390  0.0000  0.0000
V578_Mon                       B0_V         B1:_V           2.408  8.54  0.17  1.1626  0.0024  1.0124  0.0025  0.7332  0.0032  0.6325  0.0051  4.1330  0.0180  4.1850  0.0210  4.4770  0.0070  4.4110  0.0070  4.3300  0.0300  3.8600  0.0300  0.0000  0.0000
V573_Car                       O9.5V_(n)    B0.5V_(n)       1.469  9.52  0.11  1.1793  0.0037  1.0924  0.0035  0.7347  0.0034  0.6559  0.0047  4.1480  0.0070  4.2180  0.0090  4.5040  0.0050  4.4580  0.0050  4.4390  0.0230  4.0980  0.0230  0.0000  0.0000
V478_Cyg                       O9.5_II      O9.5_III        2.881  8.63 -0.29  1.1875  0.0107  1.1767  0.0101  0.8609  0.0054  0.8543  0.0055  3.9040  0.0090  3.9070  0.0100  4.5070  0.0070  4.5020  0.0080  4.7000  0.0300  4.6700  0.0400  0.0000  0.0000
GL_Car                         B0.5_V       B1_V            2.422  9.70  0.17  1.2003  0.0085  1.1746  0.0087  0.7195  0.0040  0.6962  0.0045  4.1990  0.0070  4.2200  0.0080  4.4910  0.0070  4.4830  0.0070  4.3570  0.0290  4.2780  0.0300  0.0000  0.0000
AH_Cep                         B0.5_V       B0.5_V          1.775  6.81  0.30  1.2079  0.0070  1.1364  0.0067  0.8136  0.0067  0.7513  0.0085  4.0190  0.0120  4.0730  0.0180  4.4870  0.0080  4.4590  0.0080  4.5300  0.0300  4.3000  0.0400  0.0000  0.0000
V1034_Sco                      O9.2_IV      B1:_V           2.441  8.47 -0.22  1.2307  0.0036  0.9810  0.0024  0.8758  0.0043  0.6363  0.0051  3.9170  0.0090  4.1470  0.0100  4.5080  0.0070  4.4120  0.0050  4.7380  0.0280  3.8740  0.0280  0.0000  0.0000
Y_Cyg                          O9.5_IV      O9.5_IV         2.996  7.32 -0.09  1.2485  0.0086  1.2487  0.0073  0.7623  0.0068  0.7646  0.0047  4.1610  0.0140  4.1570  0.0100  4.5210  0.0030  4.5250  0.0030 -9.9900 -9.9900 -9.9900 -9.9900  0.0000  0.0000
V1292_Sco                      O9.5_III     B1-2_IV         4.240  7.57  0.14  1.2704  0.0110  0.8865  0.0068  0.9731  0.0069  0.5670  0.0071  3.7620  0.0180  4.1900  0.0160  4.4900  0.0140  4.3360  0.0200 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900 -9.9900
DN_Cas                         O8.5_V       B0.2_V          2.311  9.93  0.53  1.2797  0.0016  1.1377  0.0016  0.8585  0.0036  0.7627  0.0045  4.0000  0.0090  4.2700  0.0100  4.5070  0.0140  4.4470  0.0170  4.7000  0.0600  4.2700  0.0800 -9.9900 -9.9900
delta_Cir                      O7_IV((f))   B               3.902  5.09 -0.06  1.3010  0.0109  1.0573  0.0091  0.9664  0.0043  0.7264  0.0074  3.8060  0.0070  4.0430  0.0140  4.5740  0.0100  4.5190  0.0130  5.1840  0.0700  4.3390  0.0900 -9.9900 -9.9900
EM_Car                         O7.5_V((f))  O7.5_V((f))     3.414  8.38 -0.31  1.3596  0.0061  1.3310  0.0067  0.9708  0.0079  0.9212  0.0073  3.8560  0.0170  3.9260  0.0160  4.5310  0.0260  4.5310  0.0260  5.0200  0.1000  4.9200  0.1000 -9.9900 -9.9900
CC_Cas                         O8.5_III(n)  B0.5_V          3.366  7.08  0.48  1.3709  0.0170  0.9978  0.0148  1.0362  0.0072  0.8351  0.0114  3.7360  0.0130  3.7660  0.0220  4.5380  0.0250  4.4520  0.0310  5.1790  0.0530  4.4740  0.0640 -9.9900 -9.9900
V467_Vel                       O6_Vf        B1_V            2.753 10.90  0.00  1.4031  0.0120  0.9165  0.0090  0.9996  0.0039  0.5428  0.0037  3.8420  0.0160  4.2680  0.0170  4.5590  0.0310  4.4020  0.0460  5.1870  0.1260  3.6490  0.1100 -9.9900 -9.9900
V3903_Sgr                      O7V(n)       B0:V:           1.744  7.27  0.06  1.4357  0.0088  1.2790  0.0101  0.9078  0.0046  0.7871  0.0043  4.0580  0.0160  4.1430  0.0130  4.5800  0.0210  4.5310  0.0210  5.0870  0.0290  4.6580  0.0320 -9.9900 -9.9900
